;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;ТП6401.03.00.00.000 СБ;Колонна;"ТП4801.01.00.00.005-06.10 | Фасонка подпорки | 2
ТП6401.03.00.00.001 | Стойка | 1
ТП6401.03.00.00.002 | Косынка | 2
ТП6401.03.00.00.003 | Пластина | 1
ТП6401.03.00.00.004 | Пластина верхняя | 1
ТП6401.03.00.00.005 | Пластина нижняя | 1
ТП6401.03.00.00.006 | Косынка продольная | 2
ТП6401.03.00.00.007 | Стенка вертикальная | 1
ТП6401.03.00.00.008 | Фланец консоли | 1
ТП6401.03.00.00.009 | Перемычка | 4
ТП6401.03.00.00.010 | Фасонка раскосов | 1
ТП6401.03.00.00.011 | Опорная пята | 1
ТП6401.03.00.00.012 | Башмак | 2
ТП6401.03.00.00.013 | Анкерная пластина | 2
ТП6401.03.00.00.014 | Фасонка подкоса опоры | 1
ТП6401.03.00.00.015 | Фасонка колонны | 1
";27.06.2025 7:48;ТП6401.03.00.00.000 СБ Колонна.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.03.00.00.000 Колонна;16.12.2021 15:48;;;;;;;
;ТП6401.03.00.00.000-01 СБ;Колонна;"ТП4801.01.00.00.005-06.10 | Фасонка подпорки | 2
ТП6401.03.00.00.001 | Стойка | 1
ТП6401.03.00.00.002 | Косынка | 2
ТП6401.03.00.00.003 | Пластина | 1
ТП6401.03.00.00.004 | Пластина верхняя | 1
ТП6401.03.00.00.005 | Пластина нижняя | 1
ТП6401.03.00.00.006 | Косынка продольная | 2
ТП6401.03.00.00.007 | Стенка вертикальная | 1
ТП6401.03.00.00.008 | Фланец консоли | 1
ТП6401.03.00.00.009 | Перемычка | 4
ТП6401.03.00.00.010 | Фасонка раскосов | 1
ТП6401.03.00.00.011 | Опорная пята | 1
ТП6401.03.00.00.012 | Башмак | 2
ТП6401.03.00.00.013 | Анкерная пластина | 2
ТП6401.03.00.00.014 | Фасонка подкоса опоры | 1
ТП6401.03.00.00.015 | Фасонка колонны | 1
";27.06.2025 7:48;;;;;;;;;;
;ТП6401.04.00.00.000 СБ;Балка диагональная;"ТП6401.02.00.00.003 | Пластина опорная | 2
ТП6401.04.00.00.001 | Балка диагональная | 1
ТП6401.04.00.00.002 | Косынка | 2
ТП6401.04.00.00.003 | Фланец балки диагональной | 2
ТП6401.04.00.00.005 | Столик опорный верхний | 2
ТП6401.04.00.00.006 | Косынка диагональной пластины | 8
";27.06.2025 7:48;ТП6401.04.00.00.000 СБ Балка диагональная.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.04.00.00.000 Балка диагональная;16.12.2021 16:00;;;;;;;
;ТП6401.05.00.00.000 СБ;Подкос продольный;"ТП6401.05.00.00.001 | Швеллер подкоса | 2
ТП6401.05.00.00.002 | Фасонка подкоса | 1
ТП6401.05.00.00.003 | Сухарь | 2
";27.06.2025 7:48;ТП6401.05.00.00.000 СБ Подкос продольный.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.05.00.00.000 Подкос продольный;16.12.2021 16:20;;;;;;;
;ТП6401.06.00.00.000 СБ;Подкос поперечный;"ТП6401.05.00.00.002 | Фасонка подкоса | 1
ТП6401.05.00.00.003 | Сухарь | 2
ТП6401.06.00.00.001 | Швеллер подкоса | 2
";27.06.2025 7:48;ТП6401.06.00.00.000 СБ Подкос поперечный.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.06.00.00.000 Подкос поперечный;16.12.2021 16:26;;;;;;;
;ТП6401.07.00.00.000 СБ;Балка затяжки;"ТП6401.05.00.00.003 | Сухарь | 2
ТП6401.07.00.00.001 | Затяжка | 2
ТП6401.07.00.00.002 | Фасонка | 1
";27.06.2025 7:48;ТП6401.07.00.00.000 СБ Балка затяжки.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.07.00.00.000 Балка затяжки;16.12.2021 16:30;;;;;;;
;ТП6401.08.00.00.000 СБ;Площадка;"ТП 39.07.00.00.003 | Стойка соединительная | 2
ТП 39.07.00.00.004 | Укосина | 4
ТП 39.07.00.00.005 | Стойка ограждения | 4
ТП 39.07.00.00.008 | Стойка | 12
ТП 39.07.00.00.009 | Кронштейн | 16
ТП 39.07.00.00.010 | Балка | 6
ТП 39.07.00.00.011 | Уголок соединительный | 2
ТП 39.07.00.00.011-01 | Уголок соединительный | 2
ТП 39.07.00.00.014 | Фасонка | 2
ТП 39.07.00.00.015 | Поручень короткий | 1
ТП 39.07.00.00.016 | Уголок короткий | 1
ТП 39.07.00.00.017 | Борт | 1
ТП6401.08.00.00.001 | Настил | 2
ТП6401.08.00.00.002 | Уголок | 4
ТП6401.08.00.00.003 | Поручень | 4
ТП6401.08.00.00.004 | Балка опорная | 2
ТП6401.08.00.00.005 | Кронштейн площадки | 2
ТП6401.08.00.00.006 | Подкос | 2
ТП6401.08.00.00.007 | Кронштейн диагональный | 2
ТП6401.08.00.00.008 | Кронштейн | 1
ТП6401.08.00.00.009 | Косынка | 1
ТП6401.08.00.00.009-01 | Косынка | 1
";27.06.2025 7:48;ТП6401.08.00.00.000 СБ Площадка.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.08.00.00.000 Площадка;16.12.2021 16:43;;;;;;;
;ТП6401.08.01.00.000 СБ;Лестница;"СК4845.05.01.01.001 | Дуга | 3
СК4845.05.01.01.102 | Проступь | 9
ТП 39.07.00.00.012 | Балка опорная | 3
ТП 39.07.00.00.018 | Пластина | 4
ТП 39.07.01.00.002 | Стойка выхода | 2
ТП 39.07.01.00.003 | Рейка | 5
ТП 48.07.01.00.001 | Стойка | 2
ТП 48.07.01.00.002 | Рейка | 5
ТП 48.07.01.00.003 | Кронштейн | 3
ТП 48.07.01.00.003-01 | Кронштейн | 3
ТП6401.08.00.00.005 | Кронштейн площадки | 3
";27.06.2025 7:49;ТП6401.08.01.00.000 СБ Лестница.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.08.00.00.000 Площадка\ТП6401.08.01.00.000 Лестница;16.12.2021 16:47;;;;;;;
;ТП6401.09.00.00.000 СБ;Затяжка;"ТП6401.00.00.00.002 | Затяжка | 2
ТП6401.00.00.00.003 | Пластина | 1
";27.06.2025 7:48;ТП6401.09.00.00.000 СБ Зaтяжкa.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\ТП 6401\ТП6401.09.00.00.000 Зaтяжкa;05.07.2023 15:36;;;;;;;
;ТР 03.00.000 СБ;Крышка носка в сборе;"ТР 03.00.001 | Крышка носка | 1
ТР 03.01.000 СБ | Воронка | 1
";26.06.2025 16:20;ТР 03.00.000 СБ Крышка носка в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе;29.11.2023 14:38;;;;;;;
;ТР 03.00.000-02 СБ;Крышка носка в сборе;"ТР 03.00.001-02 | Крышка носка | 1
ТР 03.01.000-02 СБ | Воронка | 1
";26.06.2025 16:20;ТР 03.00.000-02 СБ Крышка носка в сборе Z20.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе;15.04.2024 12:44;;;;;;;
;ТР 03.00.000-03 СБ;Крышка носка в сборе;"ТР 03.00.001-03 | Крышка носка | 1
ТР 03.01.000-03 СБ | Воронка | 1
";26.06.2025 16:20;ТР 03.00.000-03 СБ Крышка носка в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе;01.07.2024 12:15;;;;;;;
;ТР 03.00.000-04 СБ;Крышка носка в сборе;"ТР 03.00.001 | Крышка носка | 1
ТР 03.01.000-05 СБ | Воронка | 1
";26.06.2025 16:20;ТР 03.00.000-04 СБ Крышка носка в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе;29.07.2024 16:45;;;;;;;
;ТР 03.00.000-06 СБ;Крышка носка в сборе;"ТР 03.00.001-06 | Крышка носка | 1
ТР 03.01.000-04 СБ | Воронка | 1
";26.06.2025 16:20;ТР 03.00.000-06 СБ Крышка носка в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе;10.06.2024 16:11;;;;;;;
;ТР 03.01.000 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР 03.01.001 | Стенка №1 | 1
ТР 03.01.002 | Стенка №2 | 1
ТР 03.01.003 | Стенка №3 | 2
";26.06.2025 16:20;ТР 03.01.000 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе\ТР 03.01.000 СБ Воронка;29.11.2023 14:38;;;;;;;
;ТР 03.01.000-02 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР 03.01.001-02 | Стенка №1 | 1
ТР 03.01.002-02 | Стенка №2 | 1
ТР 03.01.003-02 | Стенка №3 | 2
";26.06.2025 16:20;ТР 03.01.000-02 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе\ТР 03.01.000 СБ Воронка;15.04.2024 15:26;;;;;;;
;ТР 03.01.000-03 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР 03.01.001-03 | Стенка №1 | 1
ТР 03.01.002-03 | Стенка №2 | 1
ТР 03.01.003-03 | Стенка №3 | 2
";26.06.2025 16:20;ТР 03.01.000-03 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе\ТР 03.01.000 СБ Воронка;01.07.2024 12:15;;;;;;;
;ТР 03.01.000-04 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР 03.01.001-04 | Стенка №1 | 2
ТР 03.01.002-04 | Стенка №2 | 2
";26.06.2025 16:20;ТР 03.01.000-04 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе\ТР 03.01.000 СБ Воронка;10.06.2024 16:11;;;;;;;
;ТР 03.01.000-05 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР 03.01.001-05 | Стенка №1 | 1
ТР 03.01.002-05 | Стенка №2 | 1
ТР 03.01.003-05 | Стенка №3 | 2
";26.06.2025 16:20;ТР 03.01.000-05 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА\ТР 00.00.000 - Транспортер разгрузки\ТР 03.00.000 - Крышка носка в сборе\ТР 03.01.000 СБ Воронка;29.07.2024 16:45;;;;;;;
;ТР-М 161.00.000 СБ;Секция приводная;"КЦ-400А1 01.00.005 | Упор транспортировочный | 2
КЦ-В300/30 01.00.015 | Кронштейн | 9
КЦЕ-400/200А1 01.00.004-01 | Вал приводной | 1
КЦЕ-400/200А1 01.00.005 | Уголок крыши | 1
ТР-М 161.00.001 | Стенка боковая | 1
ТР-М 161.00.001-01 | Стенка боковая | 1
ТР-М 161.00.002 | Дно секции приводной | 1
ТР-М 161.00.003 | Дно ПНД | 1
ШТ-11 | Шайба торцевая | 2
Сталь шпоночная 20х12 (210) | Сталь шпоночная 20х12 | 1
Сталь шпоночная 22х14 (100) | Сталь шпоночная 22х14 | 1
КЦ-400А1 01.03.000 СБ | Крышка люка | 1
КЦЕ-400/200А1 01.01.000 СБ | Люк в сборе | 1
КЦЕ-400/200А1 01.02.000 СБ | Крышка секции приводной в сборе | 1
КЦЕ-400/200А1 01.03.000 СБ | Стенка торцевая | 1
КЦЕ-400/200А1 01.04.000-01 СБ | Плита в сборе | 2
КЦЕ400/250 01.04.000 СБ | Звездочка в сборе | 1
КЦЕ400/250 01.05.000 СБ | Вал роликовый | 2
НЗЕ-200А4 01.11.000 СБ | Кожух привода КСА97 | 1
ТР-М 161.01.000 СБ | Плита подмоторная | 1
";30.07.2025 14:44;;;;;;;;;;
;ТР-М 161.01.000 СБ;Плита подмоторная;"ТР-М 161.01.001 | Опора | 1
ТР-М 161.01.002 | Косынка | 2
";01.08.2025 7:54;;;;;;;;;;
;ТР-М 162.00.000 СБ;Секция натяжная 1м;"КЦ400/250 02.00.004 | Кронштейн | 1
КЦ400/250 02.00.006 | Скоба | 2
КЦ-В300/30 01.00.015 | Кронштейн | 4
КЦЕ400/250 02.00.001 | Вал | 1
КЦЕ400/250 02.00.007 | Плита натяжная | 1
КЦЕ400/250 02.00.010 | Винт натяжной | 2
КЦЕ400/250 02.00.011 | Шайба стопорная | 2
КЦЕ400/250 02.00.012 | Шайба | 2
КЦЕ400/250 02.00.013 | Шайба вала | 2
КЦЕ400/250-КС 01.00.010 | Уголок | 1
КЦЕ400/250-КС 02.00.003 | Стенка торцевая | 1
КЦЕ-В400/30 02.00.010 | Плита | 2
ТР-М 161.00.004 | Накладка торцевая | 2
ТР-М 161.00.005 | Накладка нижняя | 1
ТР-М 162.00.001 | Стенка боковая 1м | 1
ТР-М 162.00.001-01 | Стенка боковая 1м | 1
ТР-М 162.00.002 | Дно секции натяжной 1м | 1
ТР-М 162.00.003 | Дно ПНД 1м | 1
ТР-М 162.00.004 | Уголок | 2
ТР-М 162.00.004-01 | Уголок | 2
ТР-М 162.00.005 | Направляющая | 4
ТР-М 162.00.006 | Крышка секции натяжной | 1
Сталь шпоночная 18х11 (72) | Сталь шпоночная 18х11 | 1
КЦЕ400/250 02.01.000 СБ | Диск в сборе | 1
КЦЕ400/250-КС 01.13.000 СБ | Люк в сборе | 1
КЦЕ400/250-КС 01.14.000 СБ | Крышка люка | 1
КЦЕ400/250-КС 02.02.000 СБ | Плита подвижная | 2
ТР-М 162.02.000 СБ | Накладка верхняя с уплотнителем | 1
ТР-М 162.03.000 СБ | Кожух в сборе | 2
ТР-М 169.03.000-01 СБ | Пластина крепежная | 1
";01.08.2025 8:16;ТР-М 162.00.000 СБ Секция натяжная 1м.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 162.00.000 СБ Секция натяжная;18.06.2025 11:51;;;;;;;
;ТР-М 162.01.000 СБ;Крышка секции натяжной в сборе 1м;"ТР-М 162.01.001 | Крышка секции натяжной 1м | 1
";;ТР-М 162.01.000 СБ Крышка секции натяжной в сборе 1м.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 162.00.000 СБ Секция натяжная\ТР-М 162.01.000 СБ Крышка секции натяжной в сборе 1м;29.05.2023 13:29;;;;;;;
;ТР-М 162.02.000 СБ;Накладка верхняя с уплотнителем;"ТР-М 162.02.001 | Накладка верхняя | 1
";01.08.2025 8:38;ТР-М 162.02.000 СБ Накладка верхняя с уплотнителем.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 162.00.000 СБ Секция натяжная\ТР-М 162.02.000 СБ Накладка верхняя с уплотнителем;18.06.2025 9:53;;;;;;;
;ТР-М 162.03.000 СБ;Кожух в сборе;"КЦ400/250 02.00.005-01 | Кожух | 1
КЦ300А.02.04.000 СБ | Логотип | 1
";01.08.2025 8:16;ТР-М 162.03.000 СБ Кожух в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 162.00.000 СБ Секция натяжная\ТР-М 162.03.000 СБ СБ Кожух в сборе;26.05.2023 11:33;;;;;;;
;ТР-М 163.00.000 СБ;Секция промежуточная;"КЦЕ400/250-КС 00.00.001 | Накладка | 2
ТР-М 161.00.004 | Накладка торцевая | 2
ТР-М 161.00.005 | Накладка нижняя | 1
ТР-М 163.00.001 | Стенка боковая | 2
ТР-М 163.00.002 | Дно секции промежуточной | 1
ТР-М 163.00.003 | Дно ПНД | 1
ТР-М 163.00.004 | Крышка секции промежуточной | 1
ТР-М 163.00.005 | Накладка верхняя | 1
ТР-М 163.00.006 | Накладка нижняя большая | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 2
";26.06.2025 15:59;;;;;;;;;;
;ТР-М 163.00.000-01 СБ;Секция промежуточная;"ТР-М 161.00.004 | Накладка торцевая | 2
ТР-М 161.00.005 | Накладка нижняя | 1
ТР-М 163.00.001 | Стенка боковая | 2
ТР-М 163.00.002 | Дно секции промежуточной | 1
ТР-М 163.00.003 | Дно ПНД | 1
ТР-М 163.00.005 | Накладка верхняя | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 2
";26.06.2025 15:59;;;;;;;;;;
;ТР-М 163.00.000-02 СБ;Секция промежуточная;"КЦЕ400/250-КС 00.00.001 | Накладка | 2
ТР-М 163.00.001 | Стенка боковая | 2
ТР-М 163.00.002 | Дно секции промежуточной | 1
ТР-М 163.00.003 | Дно ПНД | 1
ТР-М 163.00.004 | Крышка секции промежуточной | 1
ТР-М 163.00.006 | Накладка нижняя большая | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 2
";26.06.2025 15:59;;;;;;;;;;
;ТР-М 163.00.000-03 СБ;Секция промежуточная;"ТР-М 161.00.004 | Накладка торцевая | 4
ТР-М 161.00.005 | Накладка нижняя | 2
ТР-М 163.00.001 | Стенка боковая | 2
ТР-М 163.00.002 | Дно секции промежуточной | 1
ТР-М 163.00.003-01 | Дно ПНД | 1
ТР-М 163.00.007 | Вставка ПНД | 2
ТР-М 163.00.008 | Крышка большая секции промежуточной | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 2
";26.06.2025 15:59;;;;;;;;;;
;ТР-М 164.00.000 СБ;Крышка носка в сборе низкая;"ТР-М 164.00.001 | Крышка | 1
ТР-М 164.01.000 СБ | Воронка низкая в сборе | 1
";26.06.2025 16:20;ТР-М 164.00.000 СБ Крышка носка в сборе низкая.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 164.00.000 СБ Крышка носка в сборе низкая;14.06.2024 10:49;;;;;;;
;ТР-М 164.01.000 СБ;Воронка низкая в сборе;"ТР-М 164.01.001 | Стенка №1 | 2
ТР-М 164.01.002 | Стенка №2 | 2
ТР-М 164.02.000 СБ | Фланец на заслонку | 1
";26.06.2025 16:20;ТР-М 164.01.000 СБ Воронка низкая в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 164.00.000 СБ Крышка носка в сборе низкая\ТР-М 164.01.000 СБ Воронка низкая в сборе;14.06.2024 10:50;;;;;;;
;ТР-М 164.02.000 СБ;Фланец на заслонку;"ТР-М 164.02.001 | Сектор фланца | 2
ТР-М 164.02.002 | Планка фланца | 2
";26.06.2025 16:20;ТР-М 164.02.000 СБ Фланец на заслонку.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 164.00.000 СБ Крышка носка в сборе низкая\ТР-М 164.02.000 СБ Фланец на заслонку;14.06.2024 10:51;;;;;;;
;ТР-М 165.00.000 (-01) СБ;Крышка носка в сборе;"ТР-М 165.00.001 | Крышка | 1
ТР-М 165.01.000 (-01) СБ | Воронка в сборе | 1
";26.06.2025 16:20;;;;;;;;;;
;ТР-М 165.01.000 (-01) СБ;Воронка в сборе;"С20.21.02.007А | Заслонка | 1
ТР-М 165.01.001 | Стенка №1 | 1
ТР-М 165.01.002 | Стенка №2 | 1
ТР-М 165.01.003 | Стенка №3 | 1
ТР-М 165.01.004 | Стенка №4 | 1
ТР-М 165.01.005 | Рассекатель | 1
ТР-М 165.02.000 СБ | Фланец | 1
";26.06.2025 16:20;;;;;;;;;;
;ТР-М 165.02.000 СБ;Фланец;"ТР-М 165.02.001 | Сектор фланца | 2
ТР-М 165.02.002 | Планка фланца | 2
";26.06.2025 16:20;ТР-М 165.02.000 СБ Фланец.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 165.00.000 СБ Крышка носка в сборе\ТР-М 165.02.000 СБ Фланец;14.06.2024 10:57;;;;;;;
;ТР-М 169.00.000 СБ;Секция короткая;"КЦ320М.01.00.011 | Рамка на стекло | 2
КЦЕ400/250-КС 00.00.001 | Накладка | 2
ТР-М 161.00.004 | Накладка торцевая | 2
ТР-М 161.00.005 | Накладка нижняя | 1
ТР-М 169.00.001 | Стенка боковая | 2
ТР-М 169.00.002 | Дно секции короткой | 1
ТР-М 169.00.003 | Дно ПНД | 1
ТР-М 169.00.004 | Крышка секции короткой | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 1
ТР-М 162.02.000 СБ | Накладка верхняя с уплотнителем | 1
ТР-М 169.02.000 СБ | Накладка верхняя с уплотнителем | 1
ТР-М 169.03.000 СБ | Пластина крепежная | 1
ТР-М 169.03.000-01 СБ | Пластина крепежная | 1
";01.08.2025 8:38;;;;;;;;;;
;ТР-М 169.00.000-01 СБ;Секция короткая;"КЦ320М.01.00.011 | Рамка на стекло | 2
КЦЕ400/250-КС 00.00.001 | Накладка | 2
ТР-М 161.00.004 | Накладка торцевая | 2
ТР-М 161.00.005 | Накладка нижняя | 1
ТР-М 169.00.001 | Стенка боковая | 2
ТР-М 169.00.002 | Дно секции короткой | 1
ТР-М 169.00.003-01 | Дно ПНД | 1
КЦЕ-400/250 01.05.000 СБ | Вал роликовый | 1
ТР-М 162.02.000 СБ | Накладка верхняя с уплотнителем | 1
ТР-М 169.01.000 СБ | Крышка секции короткой в сборе | 1
ТР-М 169.02.000 СБ | Накладка верхняя с уплотнителем | 1
";26.06.2025 16:00;;;;;;;;;;
;ТР-М 169.01.000 СБ;Крышка секции короткой в сборе;"ТР-М 169.01.001 | Крышка секции короткой | 1
";26.06.2025 16:00;ТР-М 169.01.000 СБ Крышка секции короткой в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 169.00.000 СБ Секция короткая\ТР-М 169.01.000 СБ Крышка секции короткой в сборе;23.05.2023 9:12;;;;;;;
;ТР-М 169.02.000 СБ;Накладка верхняя с уплотнителем;"ТР-М 169.02.001 | Накладка верхняя | 1
";01.08.2025 8:38;ТР-М 169.02.000 СБ Накладка верхняя с уплотнителем.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 169.00.000 СБ Секция короткая\ТР-М 169.02.000 СБ Накладка верхняя с уплотнителем;20.06.2025 9:21;;;;;;;
;ТР-М 169.03.000 СБ;Пластина крепежная;"ТР-М 169.03.001 | Пластина | 1
";01.08.2025 8:38;;;;;;;;;;
;ТР-М 169.03.000-01 СБ;Пластина крепежная;"ТР-М 169.03.001-01 | Пластина | 1
";01.08.2025 8:38;;;;;;;;;;
;ТР-М 40.01.000 СБ;Крышка носка в сборе;"ТР 03.00.001 | Крышка носка | 1
ТР-М 40.01.100 СБ | Воронка | 1
";26.06.2025 16:20;ТР-М 40.01.000 СБ Крышка носка в сборе ZM40.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 40.01. Крышка носка в сборе ZM40;03.04.2025 8:54;;;;;;;
;ТР-М 40.01.100 СБ;Воронка;"С20.21.02.002А | Фланец | 1
ТР-М 40.01.101 | Лист 3,0 | 1
ТР-М 40.01.102 | Лист 3,0 | 1
ТР-М 40.01.103 | Стенка | 2
";26.06.2025 16:20;ТР-М 40.01.100 СБ Воронка.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 40.01. Крышка носка в сборе ZM40\ТР-М 40.01.1 Воронка;03.04.2025 8:54;;;;;;;
;ТР-М 82.00.000 СБ;Секция натяжная;"КЦ-300А1 02.00.008 | Направляющая | 4
КЦ-300А1 02.00.009 | Уголок | 4
КЦ-300А1 02.00.010 | Кронштейн | 1
КЦ-400А1 02.00.004 | Плита натяжная | 1
КЦ-400А1 02.00.004-01 | Плита натяжная | 1
КЦЕ-320А1 02.00.007 | Плита | 1
КЦЕ-320А1 02.00.007-01 | Плита | 1
КЦЕ-400А1 02.00.005 | Вал натяжной | 1
НЗ-10А3 02.00.008 | Скоба | 2
ТР-М 82.00.001 | Стенка боковая | 1
ТР-М 82.00.001-01 | Стенка боковая | 1
ТР-М 82.00.002 | Дно секции натяжной | 1
ТР-М 82.00.003 | Дно ПНД | 1
ТР-М 82.00.004 | Накладка нижняя | 1
ТР-М 82.00.005 | Накладка торцевая | 1
ТР-М 82.00.005-01 | Накладка торцевая | 1
ТР-М 82.00.006 | Стенка торцевая | 1
ТР-М 82.00.007 | Крышка секции натяжной | 1
ШТ-05 | Шайба торцевая | 2
Сталь шпоночная 14х9 (56) | Сталь шпоночная 14х9 | 1
КЦ-300А1 02.01.000 СБ | Плита подшипниковая | 2
КЦ-300А1 02.04.000 СБ | Кожух в сборе | 2
КЦ300А.02.02.000 СБ | Диск в сборе | 1
КЦ400А.01.03.000 СБ | Вал роликовый | 1
ТР-М 82.02.000 СБ | Накладка верхняя с уплотнителем | 1
ТР-М 89.03.000-01 СБ | Пластина крепежная | 1
";31.07.2025 16:16;ТР-М 82.00.000 СБ Секция натяжная.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 82.00.000 СБ Секция натяжная;18.06.2025 11:23;;;;;;;
;ТР-М 82.01.000 СБ;Крышка секции натяжной в сборе;"ТР-М 82.01.001 | Крышка секции натяжной | 1
";;ТР-М 82.01.000 СБ Крышка секции натяжной в сборе.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 82.00.000 СБ Секция натяжная\ТР-М 82.01.000 СБ Крышка секции натяжной в сборе;07.02.2024 14:38;;;;;;;
;ТР-М 82.02.000 СБ;Накладка верхняя с уплотнителем;"ТР-М 82.02.001 | Накладка верхняя | 1
";31.07.2025 16:20;ТР-М 82.02.000 СБ Накладка верхняя с уплотнителем.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\ТР-М - Транспортер разгрузки-Master\ТР-М 82.00.000 СБ Секция натяжная\ТР-М 82.02.000 СБ Накладка верхняя с уплотнителем;20.06.2025 9:10;;;;;;;
;ТР-М 83.00.000 СБ;Секция промежуточная;"КЦ-300А1 02.00.013 | Накладка | 2
КЦ-400А1 02.00.006 | Швеллер | 1
ТР-М 03.00.001 | Стенка боковая | 2
ТР-М 82.00.004 | Накладка нижняя | 1
ТР-М 82.00.005 | Накладка торцевая | 1
ТР-М 82.00.005-01 | Накладка торцевая | 1
ТР-М 83.00.002 | Дно секции промежуточной | 1
ТР-М 83.00.003 | Дно ПНД | 1
ТР-М 83.00.004 | Крышка секции промежуточной | 1
ТР-М 83.00.005 | Накладка верхняя | 1
КЦ400А.01.03.000 СБ | Вал роликовый | 2
";26.06.2025 16:00;;;;;;;;;;
